The most frequent 25 words are as following:
Word 	Frequency 	Rank 	Probability 	Rank*Probability
the 	1644 		1 	0.0616 		0.0616
and 	872 		2 	0.0327 		0.0654
to 	729 		3 	0.0273 		0.0819
a 	632 		4 	0.0237 		0.0948
she 	541 		5 	0.0203 		0.1015
it 	530 		6 	0.0199 		0.1194
of 	514 		7 	0.0193 		0.1351
said 	462 		8 	0.0173 		0.1384
i 	410 		9 	0.0154 		0.1386
alice 	386 		10 	0.0145 		0.145
in 	369 		11 	0.0138 		0.1518
you 	365 		12 	0.0137 		0.1644
was 	357 		13 	0.0134 		0.1742
that 	280 		14 	0.0105 		0.147
as 	263 		15 	0.0099 		0.1485
her 	248 		16 	0.0093 		0.1488
at 	212 		17 	0.0079 		0.1343
on 	193 		18 	0.0072 		0.1296
all 	182 		19 	0.0068 		0.1292
with 	181 		20 	0.0068 		0.136
had 	178 		21 	0.0067 		0.1407
but 	170 		22 	0.0064 		0.1408
for 	153 		23 	0.0057 		0.1311
so 	151 		24 	0.0057 		0.1368
be 	148 		25 	0.0055 		0.1375




The most frequent 25 additional words that start with the letter f are as following:
Word 		Frequency 	Rank 	Probability 	Rank*Probability
first 		51 		1 	0.0019 		0.0019
from 		36 		2 	0.0013 		0.0026
found 		32 		3 	0.0012 		0.0036
felt 		23 		4 	0.0009 		0.0036
find 		21 		5 	0.0008 		0.004
feet 		19 		6 	0.0007 		0.0042
face 		15 		7 	0.0006 		0.0042
far 		13 		8 	0.0005 		0.004
footman 		13 		9 	0.0005 		0.0045
finished 		12 		10 	0.0004 		0.004
foot 		10 		11 	0.0004 		0.0044
fan 		10 		12 	0.0004 		0.0048
few 		9 		13 	0.0003 		0.0039
four 		8 		14 	0.0003 		0.0042
five 		8 		15 	0.0003 		0.0045
followed 		8 		16 	0.0003 		0.0048
feel 		8 		17 	0.0003 		0.0051
fish 		8 		18 	0.0003 		0.0054
fact 		8 		19 	0.0003 		0.0057
fall 		7 		20 	0.0003 		0.006
fancy 		7 		21 	0.0003 		0.0063
frightened 		7 		22 	0.0003 		0.0066
feeling 		7 		23 	0.0003 		0.0069
fetch 		7 		24 	0.0003 		0.0072
full 		6 		25 	0.0002 		0.005
Total Words: 26693
Total Unique Words: 2632
